drink,Volume (ml),Calories,Caffeine (mg),type_Energy Drinks,type_Energy Shots,type_Soft Drinks,type_Tea,type_Water
Costa Coffee,0.30414414414414404,0.0,0.8523076923076923,False,False,False,False,False
Coffee Friend Brewed Coffee,0.2958558558558559,0.0,0.4461538461538462,False,False,False,False,False
Hell Energy Coffee,0.2958558558558559,0.42857142857142855,0.3076923076923077,False,False,False,False,False
Killer Coffee (AU),0.2958558558558559,0.0,1.0,False,False,False,False,False
Nescafe Gold,0.2958558558558559,0.0,0.20307692307692307,False,False,False,False,False
Espresso Monster,0.29369369369369364,0.4857142857142857,0.49230769230769234,False,False,False,False,False
Dunkin Donuts Shot In The Dark,0.2828828828828829,0.22857142857142856,0.4123076923076923,False,False,False,False,False
Illy Issimo Cafe,0.236036036036036,0.12857142857142856,0.47692307692307695,False,False,False,False,False
Starbucks Doubleshot Espresso,0.2252252252252252,0.4,0.36923076923076925,False,False,False,False,False
TrueStart Performance Coffee,0.17477477477477477,0.0,0.2923076923076923,False,False,False,False,False
Bizzy Cold Brew,0.08720720720720719,0.0,0.38461538461538464,False,False,False,False,False
Zola Coconut Water Espresso,0.6216216216216216,0.0,0.38461538461538464,False,False,False,False,False
Barista Bros Iced Coffee,0.6003603603603603,0.5828571428571429,0.4307692307692308,False,False,False,False,False
Dare Iced Coffee,0.6003603603603603,1.0,0.49230769230769234,False,False,False,False,False
V Iced Coffee,0.6003603603603603,0.9857142857142858,0.47692307692307695,False,False,False,False,False
Bottled Iced Coffee Dunkin Donuts,0.4846846846846846,0.7428571428571429,0.5261538461538462,False,False,False,False,False
Starbucks Bottled Frappuccino,0.4846846846846846,0.8571428571428571,0.3384615384615385,False,False,False,False,False
Stok Cold Brew,0.4846846846846846,0.0,0.4461538461538462,False,False,False,False,False
Wide Awake Iced Coffee Drinks,0.4846846846846846,0.8285714285714286,0.09230769230769231,False,False,False,False,False
Caribou Canned Cold Brew,0.4054054054054054,0.02857142857142857,0.5446153846153846,False,False,False,False,False
McDonalds Iced Coffee,0.4054054054054054,0.5142857142857142,0.40923076923076923,False,False,False,False,False
Premier Protein Cafe Latte,0.4054054054054054,0.45714285714285713,0.36923076923076925,False,False,False,False,False
Stumptown Cold Brew Coffee,0.3693693693693693,0.008571428571428572,0.8584615384615385,False,False,False,False,False
Espresso Shot,0.04504504504504504,0.0,0.23692307692307693,False,False,False,False,False
Peet's Coffee Espresso,0.04504504504504504,0.0,0.2153846153846154,False,False,False,False,False
Peet's Decaf Espresso,0.04504504504504504,0.0,0.03076923076923077,False,False,False,False,False
Gourmesso Coffee Pods,0.03963963963963964,0.0,0.2,False,False,False,False,False
Nespresso Coffee Capsules,0.03963963963963964,0.0,0.18461538461538463,False,False,False,False,False
Stok Coffee Shots,0.006486486486486486,0.02857142857142857,0.12307692307692308,False,False,False,False,False
Starbucks Bottled Iced Coffee,0.9999999999999999,0.6857142857142857,1.0,False,False,False,False,False
Baskin Robbins Cappuccino Blast,0.8558558558558558,1.0,0.72,False,False,False,False,False
Dunkin' Cold Brew,0.8558558558558558,0.014285714285714285,0.8,False,False,False,False,False
Dunkin' Donuts Iced Coffee,0.8558558558558558,0.05714285714285714,0.9138461538461539,False,False,False,False,False
Dunkin' Donuts Iced Latte,0.8558558558558558,0.2857142857142857,0.5107692307692308,False,False,False,False,False
Dutch Bros Coffee (Classic),0.7117117117117117,0.02857142857142857,0.5753846153846154,False,False,False,False,False
